id,pl_dens,st_mass,pl_name,planet_name,pl_insol,pl_eqt,st_teff,pl_orbeccen,pl_orbper,label,st_met,color,size,st_rad,pl_orbsmax
596,1.3,0.68,GJ 3138 d,GJ 3138 d,0.1,795.0,3717.0,0.32,257.8,Planet 596,-0.3,#6384eb,6.800000000000001,0.5,0.698
708,1.3,0.51,GJ 514 b,GJ 514 b,0.28,202.0,3728.0,0.45,140.43,Planet 708,-0.14,#6384eb,5.1,0.5,0.422
1697,1.3,1.04,HATS-59 c,HATS-59 c,0.16,176.0,5670.0,0.083,1422.0,Planet 1697,0.18,#6384eb,10.4,1.04,2.504
1918,1.3,0.98,HD 109286 b,HD 109286 b,0.71,259.0,5694.0,0.338,520.1,Planet 1918,0.05,#6384eb,9.8,1.09,1.259
2406,1.3,0.87,HD 164922 b,HD 164922 b,0.16,159.0,5293.0,0.126,1201.1,Planet 2406,0.16,#6384eb,8.7,1.0,2.115
2667,1.3,0.81,HD 191939 g,HD 191939 g,0.99,278.0,5348.0,0.03,284.0,Planet 2667,-0.15,#6384eb,8.100000000000001,0.94,0.812
3726,1.3,1.09,HD 95544 b,HD 95544 b,0.1,156.0,5722.0,0.043,2172.0,Planet 3726,0.11,#6384eb,10.9,1.09,3.386
3843,1.3,0.69,HIP 54597 b,HIP 54597 b,0.01,795.0,4799.0,0.04,3250.0,Planet 3843,-0.22,#6384eb,6.8999999999999995,0.66,3.81
5858,1.3,1.03,KIC 5437945 b,KIC 5437945 b,2.14,308.0,6340.0,0.0,440.7843755,Planet 5858,-0.38,#6384eb,10.3,1.39,1.1455
5871,1.3,1.13,KIC 9663113 b,KIC 9663113 b,1.15,264.0,6226.0,0.0,572.376632,Planet 5871,0.0,#6384eb,11.299999999999999,1.3,1.4062
6221,0.51,1.08,KOI-1783.02,KOI-1783.02,2.49,795.0,5922.0,0.0,284.215,Planet 6221,0.11,#4a63d3,10.8,1.14,0.1006
6332,1.3,0.97,KOI-351 g,KOI-351 g,3.2,341.0,6238.0,0.0,210.6031105,Planet 6332,-0.4,#6384eb,9.7,1.05,0.6856
6342,1.3,0.97,KOI-351 h,KOI-351 h,1.75,293.0,6238.0,0.0,331.6011081,Planet 6342,-0.4,#6384eb,9.7,1.05,0.9279
7145,1.3,0.82,Kepler-1040 b,Kepler-1040 b,1.83,297.0,5804.0,0.0,201.1214,Planet 7145,-0.5,#6384eb,8.2,0.84,0.6291
7988,1.3,0.73,Kepler-1097 b,Kepler-1097 b,1.2,267.0,5303.0,0.0,187.747029,Planet 7988,-0.4,#6384eb,7.3,0.75,0.5791
8253,3.42,1.12,Kepler-111 c,Kepler-111 c,2.48,352.0,5914.0,0.176,224.77833,Planet 8253,0.237,#adc9fd,11.200000000000001,1.15,0.751
8451,1.3,0.94,Kepler-1126 c,Kepler-1126 c,2.07,306.0,6106.0,0.0,199.664537,Planet 8451,-0.5,#6384eb,9.399999999999999,0.84,0.6541
8723,1.3,0.67,Kepler-1143 c,Kepler-1143 c,0.66,230.0,4905.0,0.0,210.630591,Planet 8723,-0.4,#6384eb,6.7,0.68,0.605
11039,1.3,0.66,Kepler-1318 b,Kepler-1318 b,0.39,202.0,4476.0,0.0,213.257663,Planet 11039,-0.2,#6384eb,6.6000000000000005,0.64,0.6085
13653,4.82,1.2,Kepler-1514 b,Kepler-1514 b,3.23,388.0,6145.0,0.401,217.83184,Planet 13653,0.119,#d8dce2,12.0,1.29,0.753
13707,1.3,0.97,Kepler-1519 b,Kepler-1519 b,1.52,283.0,5911.0,0.0,240.7989397,Planet 13707,-0.2,#6384eb,9.7,0.89,0.7509
13897,1.3,1.08,Kepler-1533 b,Kepler-1533 b,1.86,298.0,6363.0,0.0,308.5471,Planet 13897,-0.26,#6384eb,10.8,1.03,0.9191
13919,1.3,0.62,Kepler-1536 b,Kepler-1536 b,0.18,166.0,4386.0,0.0,364.758031,Planet 13919,-0.26,#6384eb,6.2,0.63,0.8507
14071,1.3,0.74,Kepler-1544 b,Kepler-1544 b,0.82,269.0,4820.0,0.0,168.8116,Planet 14071,-0.08,#6384eb,7.4,0.71,0.5421
14144,1.3,1.03,Kepler-1550 b,Kepler-1550 b,2.24,312.0,6184.0,0.0,225.582809,Planet 14144,-0.26,#6384eb,10.3,0.96,0.7333
14164,1.3,0.71,Kepler-1552 b,Kepler-1552 b,0.94,251.0,5220.0,0.0,184.771853,Planet 14164,-0.54,#6384eb,7.1,0.68,0.568
14178,1.3,0.83,Kepler-1554 b,Kepler-1554 b,1.19,266.0,5462.0,0.0,198.088774,Planet 14178,-0.28,#6384eb,8.299999999999999,0.76,0.6259
14627,1.3,0.72,Kepler-1593 b,Kepler-1593 b,0.71,260.0,4745.0,0.0,174.5085,Planet 14627,-0.1,#6384eb,7.199999999999999,0.7,0.546
14708,1.3,0.93,Kepler-1600 b,Kepler-1600 b,0.47,211.0,5303.0,0.0,386.370548,Planet 14708,0.18,#6384eb,9.3,0.83,1.0144
14988,1.3,0.86,Kepler-1625 b,Kepler-1625 b,0.97,253.0,5645.0,0.0,287.378949,Planet 14988,-0.26,#6384eb,8.6,0.84,0.811
15038,1.3,0.72,Kepler-1630 b,Kepler-1630 b,0.26,182.0,5037.0,0.0,509.997402,Planet 15038,-0.2,#6384eb,7.199999999999999,0.76,1.1218
15048,1.3,0.82,Kepler-1632 b,Kepler-1632 b,4.4,369.0,6072.0,0.0,224.150923,Planet 15048,-0.76,#6384eb,8.2,1.29,0.6762
15057,1.3,1.01,Kepler-1633 b,Kepler-1633 b,3.01,336.0,6351.0,0.0,186.404271,Planet 15057,-0.5,#6384eb,10.1,0.92,0.6407
15068,1.3,0.85,Kepler-1635 b,Kepler-1635 b,0.37,200.0,5474.0,0.0,469.61309,Planet 15068,-0.28,#6384eb,8.5,0.76,1.117
15078,1.3,1.13,Kepler-1636 b,Kepler-1636 b,0.89,248.0,5977.0,0.0,425.483539,Planet 15078,0.21,#6384eb,11.299999999999999,1.02,1.1546
15089,1.3,0.77,Kepler-1638 b,Kepler-1638 b,1.47,281.0,5906.0,0.0,259.33683,Planet 15089,-0.76,#6384eb,7.7,0.85,0.7307
15278,1.2,1.01,Kepler-1654 b,Kepler-1654 b,0.3,206.0,5597.0,0.26,1047.8356,Planet 15278,-0.088,#5f7fe8,10.1,1.18,2.026
15347,1.6,0.84,Kepler-1661 b,Kepler-1661 b,0.88,243.0,5100.0,0.057,175.06,Planet 15347,-0.12,#6c8ff1,8.4,0.76,0.633
15469,1.3,0.77,Kepler-167 e,Kepler-167 e,0.1,144.0,4978.0,0.0,1071.2319346,Planet 15469,0.07,#6384eb,7.7,0.81,1.881
15724,1.3,0.88,Kepler-1690 b,Kepler-1690 b,1.31,273.0,5735.0,0.0,234.635379,Planet 15724,-0.3,#6384eb,8.8,0.83,0.7143
15867,4.07,1.13,Kepler-1704 b,Kepler-1704 b,0.34,254.0,5746.0,0.92,988.88112,Planet 15867,0.196,#c3d5f4,11.299999999999999,1.7,2.027
16265,1.3,0.64,Kepler-174 d,Kepler-174 d,0.48,212.0,4859.0,0.0,247.354914,Planet 16265,-0.52,#6384eb,6.4,0.65,0.6639
16328,1.3,0.87,Kepler-1746 b,Kepler-1746 b,1.21,268.0,5982.0,0.0,321.2125073,Planet 16328,-0.5,#6384eb,8.7,0.9,0.8767
16384,1.3,0.85,Kepler-1750 b,Kepler-1750 b,1.84,297.0,5717.0,0.0,205.912082,Planet 16384,-0.3,#6384eb,8.5,0.9,0.6469
17673,1.3,0.54,Kepler-186 f,Kepler-186 f,0.25,795.0,3876.0,0.0,129.94188177,Planet 17673,-0.009,#6384eb,5.4,0.55,0.1006
17747,1.3,0.68,Kepler-1868 b,Kepler-1868 b,0.48,212.0,4628.0,0.0,211.0338741,Planet 17747,-0.2,#6384eb,6.800000000000001,0.66,0.6108
18929,1.3,1.04,Kepler-1981 b,Kepler-1981 b,1.26,270.0,6109.0,0.0,453.543999,Planet 18929,-0.08,#6384eb,10.4,1.18,1.1712
19859,1.3,0.97,Kepler-22 b,Kepler-22 b,1.21,267.0,5642.0,0.0,289.864456,Planet 19859,-0.27,#6384eb,9.7,0.98,0.8489
23107,1.3,0.75,Kepler-309 c,Kepler-309 c,0.4,795.0,4714.0,0.0,105.35789935,Planet 23107,0.26,#6384eb,7.5,0.77,0.1006
23294,1.3,0.88,Kepler-315 c,Kepler-315 c,1.7,291.0,5792.0,0.0,265.47847,Planet 23294,-0.26,#6384eb,8.8,1.0,0.7733
26302,1.3,0.75,Kepler-421 b,Kepler-421 b,0.24,178.0,5305.0,0.0,704.962626,Planet 26302,-0.26,#6384eb,7.5,0.82,1.4108
26564,1.3,0.86,Kepler-439 b,Kepler-439 b,1.54,284.0,5592.0,0.0,178.140456,Planet 26564,-0.3,#6384eb,8.6,0.78,0.5886
26600,1.3,0.62,Kepler-441 b,Kepler-441 b,0.34,194.0,4243.0,0.0,207.247959,Planet 26600,-0.12,#6384eb,6.2,0.63,0.5843
26612,1.3,0.61,Kepler-442 b,Kepler-442 b,0.66,795.0,4402.0,0.04,112.3053,Planet 26612,-0.37,#6384eb,6.1,0.6,0.409
26834,1.3,0.87,Kepler-452 b,Kepler-452 b,0.56,220.0,5578.0,0.0,384.843022,Planet 26834,-0.24,#6384eb,8.7,0.79,0.9892
27622,1.3,0.96,Kepler-511 b,Kepler-511 b,2.88,332.0,5866.0,0.0,296.6375817,Planet 27622,-0.2,#6384eb,9.6,1.42,0.8589
28330,1.3,0.95,Kepler-553 c,Kepler-553 c,0.82,242.0,5551.0,0.0,328.2399546,Planet 28330,0.1,#6384eb,9.5,0.9,0.9166
29387,1.3,0.64,Kepler-62 f,Kepler-62 f,0.41,205.0,4797.0,0.0,267.283301,Planet 29387,-0.46,#6384eb,6.4,0.65,0.699
30302,1.3,0.81,Kepler-69 c,Kepler-69 c,1.59,286.0,5637.0,0.0,242.46712,Planet 30302,-0.3,#6384eb,8.100000000000001,0.94,0.7106
30544,1.3,0.77,Kepler-712 c,Kepler-712 c,0.84,244.0,5330.0,0.0,226.89047,Planet 30544,-0.4,#6384eb,7.7,0.72,0.6676
32466,3.09,1.26,Kepler-849 b,Kepler-849 b,2.86,363.0,5950.0,0.078,394.62508,Planet 32466,0.145,#a2c1ff,12.6,1.82,1.137
32738,1.3,0.98,Kepler-87 c,Kepler-87 c,1.07,259.0,5991.0,0.0,573.95023,Planet 32738,-0.2,#6384eb,9.8,1.29,1.3423
35048,1.3,0.97,PH2 b,PH2 b,1.15,264.0,5725.0,0.0,282.5253558,Planet 35048,0.0,#6384eb,9.7,0.91,0.836
35167,1.3,1.03,TIC 139270665 c,TIC 139270665 c,0.21,200.0,5844.0,0.566,1010.0,Planet 35167,0.156,#6384eb,10.3,1.02,2.0
35747,3.32,1.11,TOI-2180 b,TOI-2180 b,2.71,348.0,5695.0,0.3683,260.79,Planet 35747,0.253,#a9c6fd,11.100000000000001,1.64,0.828
35977,1.3,0.88,TOI-4010 e,TOI-4010 e,0.15,174.0,4960.0,0.26,762.0,Planet 35977,0.37,#6384eb,8.8,0.83,1.57
36078,1.3,0.96,TOI-4633 c,TOI-4633 c,1.23,269.0,5490.04,0.0,271.93863897,Planet 36078,-0.009,#6384eb,9.6,1.58,0.1006
37823,1.3,0.29,Wolf 1061 d,Wolf 1061 d,0.06,795.0,3342.0,0.55,217.21,Planet 37823,-0.09,#6384eb,5.0,0.31,0.47
38047,5.51,1.0,Earth,Earth,1.0,288.0,5778.0,0.0167,365.25,Planet 38047,0.0,#ead5c9,10.0,1.0,1.0
38048,5.5,1.0,Similar Earth,Similar Earth,1.02,290.0,5778.0,0.02,365.0,Planet 38048,0.01,#e9d5cb,10.0,1.0,1.01
