id,pl_dens,label,pl_orbsmax,st_met,pl_name,pl_orbper,st_rad,size,pl_insol,st_mass,st_teff,pl_orbeccen,planet_name,color,pl_eqt
596,1.3,Planet 596,0.698,-0.3,GJ 3138 d,257.8,0.5,6.800000000000001,0.1,0.68,3717.0,0.32,GJ 3138 d,#6384eb,795.0
708,1.3,Planet 708,0.422,-0.14,GJ 514 b,140.43,0.5,5.1,0.28,0.51,3728.0,0.45,GJ 514 b,#6384eb,202.0
1697,1.3,Planet 1697,2.504,0.18,HATS-59 c,1422.0,1.04,10.4,0.16,1.04,5670.0,0.083,HATS-59 c,#6384eb,176.0
1918,1.3,Planet 1918,1.259,0.05,HD 109286 b,520.1,1.09,9.8,0.71,0.98,5694.0,0.338,HD 109286 b,#6384eb,259.0
2406,1.3,Planet 2406,2.115,0.16,HD 164922 b,1201.1,1.0,8.7,0.16,0.87,5293.0,0.126,HD 164922 b,#6384eb,159.0
2667,1.3,Planet 2667,0.812,-0.15,HD 191939 g,284.0,0.94,8.100000000000001,0.99,0.81,5348.0,0.03,HD 191939 g,#6384eb,278.0
3726,1.3,Planet 3726,3.386,0.11,HD 95544 b,2172.0,1.09,10.9,0.1,1.09,5722.0,0.043,HD 95544 b,#6384eb,156.0
3843,1.3,Planet 3843,3.81,-0.22,HIP 54597 b,3250.0,0.66,6.8999999999999995,0.01,0.69,4799.0,0.04,HIP 54597 b,#6384eb,795.0
5858,1.3,Planet 5858,1.1455,-0.38,KIC 5437945 b,440.7843755,1.39,10.3,2.14,1.03,6340.0,0.0,KIC 5437945 b,#6384eb,308.0
5871,1.3,Planet 5871,1.4062,0.0,KIC 9663113 b,572.376632,1.3,11.299999999999999,1.15,1.13,6226.0,0.0,KIC 9663113 b,#6384eb,264.0
6221,0.51,Planet 6221,0.1006,0.11,KOI-1783.02,284.215,1.14,10.8,2.49,1.08,5922.0,0.0,KOI-1783.02,#4a63d3,795.0
6332,1.3,Planet 6332,0.6856,-0.4,KOI-351 g,210.6031105,1.05,9.7,3.2,0.97,6238.0,0.0,KOI-351 g,#6384eb,341.0
6342,1.3,Planet 6342,0.9279,-0.4,KOI-351 h,331.6011081,1.05,9.7,1.75,0.97,6238.0,0.0,KOI-351 h,#6384eb,293.0
7145,1.3,Planet 7145,0.6291,-0.5,Kepler-1040 b,201.1214,0.84,8.2,1.83,0.82,5804.0,0.0,Kepler-1040 b,#6384eb,297.0
7988,1.3,Planet 7988,0.5791,-0.4,Kepler-1097 b,187.747029,0.75,7.3,1.2,0.73,5303.0,0.0,Kepler-1097 b,#6384eb,267.0
8253,3.42,Planet 8253,0.751,0.237,Kepler-111 c,224.77833,1.15,11.200000000000001,2.48,1.12,5914.0,0.176,Kepler-111 c,#adc9fd,352.0
8451,1.3,Planet 8451,0.6541,-0.5,Kepler-1126 c,199.664537,0.84,9.399999999999999,2.07,0.94,6106.0,0.0,Kepler-1126 c,#6384eb,306.0
8723,1.3,Planet 8723,0.605,-0.4,Kepler-1143 c,210.630591,0.68,6.7,0.66,0.67,4905.0,0.0,Kepler-1143 c,#6384eb,230.0
11039,1.3,Planet 11039,0.6085,-0.2,Kepler-1318 b,213.257663,0.64,6.6000000000000005,0.39,0.66,4476.0,0.0,Kepler-1318 b,#6384eb,202.0
13653,4.82,Planet 13653,0.753,0.119,Kepler-1514 b,217.83184,1.29,12.0,3.23,1.2,6145.0,0.401,Kepler-1514 b,#d8dce2,388.0
13707,1.3,Planet 13707,0.7509,-0.2,Kepler-1519 b,240.7989397,0.89,9.7,1.52,0.97,5911.0,0.0,Kepler-1519 b,#6384eb,283.0
13897,1.3,Planet 13897,0.9191,-0.26,Kepler-1533 b,308.5471,1.03,10.8,1.86,1.08,6363.0,0.0,Kepler-1533 b,#6384eb,298.0
13919,1.3,Planet 13919,0.8507,-0.26,Kepler-1536 b,364.758031,0.63,6.2,0.18,0.62,4386.0,0.0,Kepler-1536 b,#6384eb,166.0
14071,1.3,Planet 14071,0.5421,-0.08,Kepler-1544 b,168.8116,0.71,7.4,0.82,0.74,4820.0,0.0,Kepler-1544 b,#6384eb,269.0
14144,1.3,Planet 14144,0.7333,-0.26,Kepler-1550 b,225.582809,0.96,10.3,2.24,1.03,6184.0,0.0,Kepler-1550 b,#6384eb,312.0
14164,1.3,Planet 14164,0.568,-0.54,Kepler-1552 b,184.771853,0.68,7.1,0.94,0.71,5220.0,0.0,Kepler-1552 b,#6384eb,251.0
14178,1.3,Planet 14178,0.6259,-0.28,Kepler-1554 b,198.088774,0.76,8.299999999999999,1.19,0.83,5462.0,0.0,Kepler-1554 b,#6384eb,266.0
14627,1.3,Planet 14627,0.546,-0.1,Kepler-1593 b,174.5085,0.7,7.199999999999999,0.71,0.72,4745.0,0.0,Kepler-1593 b,#6384eb,260.0
14708,1.3,Planet 14708,1.0144,0.18,Kepler-1600 b,386.370548,0.83,9.3,0.47,0.93,5303.0,0.0,Kepler-1600 b,#6384eb,211.0
14988,1.3,Planet 14988,0.811,-0.26,Kepler-1625 b,287.378949,0.84,8.6,0.97,0.86,5645.0,0.0,Kepler-1625 b,#6384eb,253.0
15038,1.3,Planet 15038,1.1218,-0.2,Kepler-1630 b,509.997402,0.76,7.199999999999999,0.26,0.72,5037.0,0.0,Kepler-1630 b,#6384eb,182.0
15048,1.3,Planet 15048,0.6762,-0.76,Kepler-1632 b,224.150923,1.29,8.2,4.4,0.82,6072.0,0.0,Kepler-1632 b,#6384eb,369.0
15057,1.3,Planet 15057,0.6407,-0.5,Kepler-1633 b,186.404271,0.92,10.1,3.01,1.01,6351.0,0.0,Kepler-1633 b,#6384eb,336.0
15068,1.3,Planet 15068,1.117,-0.28,Kepler-1635 b,469.61309,0.76,8.5,0.37,0.85,5474.0,0.0,Kepler-1635 b,#6384eb,200.0
15078,1.3,Planet 15078,1.1546,0.21,Kepler-1636 b,425.483539,1.02,11.299999999999999,0.89,1.13,5977.0,0.0,Kepler-1636 b,#6384eb,248.0
15089,1.3,Planet 15089,0.7307,-0.76,Kepler-1638 b,259.33683,0.85,7.7,1.47,0.77,5906.0,0.0,Kepler-1638 b,#6384eb,281.0
15278,1.2,Planet 15278,2.026,-0.088,Kepler-1654 b,1047.8356,1.18,10.1,0.3,1.01,5597.0,0.26,Kepler-1654 b,#5f7fe8,206.0
15347,1.6,Planet 15347,0.633,-0.12,Kepler-1661 b,175.06,0.76,8.4,0.88,0.84,5100.0,0.057,Kepler-1661 b,#6c8ff1,243.0
15469,1.3,Planet 15469,1.881,0.07,Kepler-167 e,1071.2319346,0.81,7.7,0.1,0.77,4978.0,0.0,Kepler-167 e,#6384eb,144.0
15724,1.3,Planet 15724,0.7143,-0.3,Kepler-1690 b,234.635379,0.83,8.8,1.31,0.88,5735.0,0.0,Kepler-1690 b,#6384eb,273.0
15867,4.07,Planet 15867,2.027,0.196,Kepler-1704 b,988.88112,1.7,11.299999999999999,0.34,1.13,5746.0,0.92,Kepler-1704 b,#c3d5f4,254.0
16265,1.3,Planet 16265,0.6639,-0.52,Kepler-174 d,247.354914,0.65,6.4,0.48,0.64,4859.0,0.0,Kepler-174 d,#6384eb,212.0
16328,1.3,Planet 16328,0.8767,-0.5,Kepler-1746 b,321.2125073,0.9,8.7,1.21,0.87,5982.0,0.0,Kepler-1746 b,#6384eb,268.0
16384,1.3,Planet 16384,0.6469,-0.3,Kepler-1750 b,205.912082,0.9,8.5,1.84,0.85,5717.0,0.0,Kepler-1750 b,#6384eb,297.0
17673,1.3,Planet 17673,0.1006,-0.009,Kepler-186 f,129.94188177,0.55,5.4,0.25,0.54,3876.0,0.0,Kepler-186 f,#6384eb,795.0
17747,1.3,Planet 17747,0.6108,-0.2,Kepler-1868 b,211.0338741,0.66,6.800000000000001,0.48,0.68,4628.0,0.0,Kepler-1868 b,#6384eb,212.0
18929,1.3,Planet 18929,1.1712,-0.08,Kepler-1981 b,453.543999,1.18,10.4,1.26,1.04,6109.0,0.0,Kepler-1981 b,#6384eb,270.0
19859,1.3,Planet 19859,0.8489,-0.27,Kepler-22 b,289.864456,0.98,9.7,1.21,0.97,5642.0,0.0,Kepler-22 b,#6384eb,267.0
23107,1.3,Planet 23107,0.1006,0.26,Kepler-309 c,105.35789935,0.77,7.5,0.4,0.75,4714.0,0.0,Kepler-309 c,#6384eb,795.0
23294,1.3,Planet 23294,0.7733,-0.26,Kepler-315 c,265.47847,1.0,8.8,1.7,0.88,5792.0,0.0,Kepler-315 c,#6384eb,291.0
26302,1.3,Planet 26302,1.4108,-0.26,Kepler-421 b,704.962626,0.82,7.5,0.24,0.75,5305.0,0.0,Kepler-421 b,#6384eb,178.0
26564,1.3,Planet 26564,0.5886,-0.3,Kepler-439 b,178.140456,0.78,8.6,1.54,0.86,5592.0,0.0,Kepler-439 b,#6384eb,284.0
26600,1.3,Planet 26600,0.5843,-0.12,Kepler-441 b,207.247959,0.63,6.2,0.34,0.62,4243.0,0.0,Kepler-441 b,#6384eb,194.0
26612,1.3,Planet 26612,0.409,-0.37,Kepler-442 b,112.3053,0.6,6.1,0.66,0.61,4402.0,0.04,Kepler-442 b,#6384eb,795.0
26834,1.3,Planet 26834,0.9892,-0.24,Kepler-452 b,384.843022,0.79,8.7,0.56,0.87,5578.0,0.0,Kepler-452 b,#6384eb,220.0
27622,1.3,Planet 27622,0.8589,-0.2,Kepler-511 b,296.6375817,1.42,9.6,2.88,0.96,5866.0,0.0,Kepler-511 b,#6384eb,332.0
28330,1.3,Planet 28330,0.9166,0.1,Kepler-553 c,328.2399546,0.9,9.5,0.82,0.95,5551.0,0.0,Kepler-553 c,#6384eb,242.0
29387,1.3,Planet 29387,0.699,-0.46,Kepler-62 f,267.283301,0.65,6.4,0.41,0.64,4797.0,0.0,Kepler-62 f,#6384eb,205.0
30302,1.3,Planet 30302,0.7106,-0.3,Kepler-69 c,242.46712,0.94,8.100000000000001,1.59,0.81,5637.0,0.0,Kepler-69 c,#6384eb,286.0
30544,1.3,Planet 30544,0.6676,-0.4,Kepler-712 c,226.89047,0.72,7.7,0.84,0.77,5330.0,0.0,Kepler-712 c,#6384eb,244.0
32466,3.09,Planet 32466,1.137,0.145,Kepler-849 b,394.62508,1.82,12.6,2.86,1.26,5950.0,0.078,Kepler-849 b,#a2c1ff,363.0
32738,1.3,Planet 32738,1.3423,-0.2,Kepler-87 c,573.95023,1.29,9.8,1.07,0.98,5991.0,0.0,Kepler-87 c,#6384eb,259.0
35048,1.3,Planet 35048,0.836,0.0,PH2 b,282.5253558,0.91,9.7,1.15,0.97,5725.0,0.0,PH2 b,#6384eb,264.0
35167,1.3,Planet 35167,2.0,0.156,TIC 139270665 c,1010.0,1.02,10.3,0.21,1.03,5844.0,0.566,TIC 139270665 c,#6384eb,200.0
35747,3.32,Planet 35747,0.828,0.253,TOI-2180 b,260.79,1.64,11.100000000000001,2.71,1.11,5695.0,0.3683,TOI-2180 b,#a9c6fd,348.0
35977,1.3,Planet 35977,1.57,0.37,TOI-4010 e,762.0,0.83,8.8,0.15,0.88,4960.0,0.26,TOI-4010 e,#6384eb,174.0
36078,1.3,Planet 36078,0.1006,-0.009,TOI-4633 c,271.93863897,1.58,9.6,1.23,0.96,5490.04,0.0,TOI-4633 c,#6384eb,269.0
37823,1.3,Planet 37823,0.47,-0.09,Wolf 1061 d,217.21,0.31,5.0,0.06,0.29,3342.0,0.55,Wolf 1061 d,#6384eb,795.0
38047,5.51,Planet 38047,1.0,0.0,Earth,365.25,1.0,10.0,1.0,1.0,5778.0,0.0167,Earth,#ead5c9,288.0
38048,5.5,Planet 38048,1.01,0.01,Similar Earth,365.0,1.0,10.0,1.02,1.0,5778.0,0.02,Similar Earth,#e9d5cb,290.0
